"city_id","city"
1,"A Corua (La Corua)"
4,"Acua"
28,"Aparecida de Goinia"
32,"Arecibo"
37,"Asuncin"
40,"Atlixco"
41,"Augusta-Richmond County"
45,"Baha Blanca"
46,"Baicheng"
55,"Barcelona"
63,"Bchar"
69,"Benin City"
91,"Brescia"
94,"Brockton"
95,"Bucuresti"
97,"Bydgoszcz"
98,"Cabuyao"
99,"Callao"
100,"Cam Ranh"
101,"Cape Coral"
102,"Caracas"
103,"Carmen"
104,"Cavite"
105,"Cayenne"
106,"Celaya"
107,"Chandrapur"
108,"Changhwa"
109,"Changzhou"
110,"Chapra"
111,"Charlotte Amalie"
112,"Chatsworth"
113,"Cheju"
114,"Chiayi"
115,"Chisinau"
116,"Chungho"
117,"Cianjur"
118,"Ciomas"
119,"Ciparay"
120,"Citrus Heights"
121,"Citt del Vaticano"
122,"Ciudad del Este"
123,"Clarksville"
124,"Coacalco de Berriozbal"
125,"Coatzacoalcos"
126,"Compton"
127,"Coquimbo"
128,"Crdoba"
129,"Cuauhtmoc"
130,"Cuautla"
131,"Cuernavaca"
132,"Cuman"
133,"Czestochowa"
161,"Escobar"
170,"Florencia"
209,"Hsichuh"
213,"Huixquilucan"
214,"Hunuco"
240,"Jinchang"
261,"Kanchrapara"
262,"Kansas City"
268,"Kimchon"
280,"Kragujevac"
282,"Kuching"
292,"Lancaster"
302,"Liaocheng"
306,"Lincoln"
322,"Manchester"
326,"Maracabo"
335,"Mexicali"
341,"Monclova"
343,"Moscow"
364,"Newcastle"
365,"Nezahualcyotl"
373,"Ocumare del Tuy"
378,"Olomouc"
382,"Onomichi"
393,"Pachuca de Soto"
409,"Plock"
411,"Ponce"
413,"Poos de Caldas"
428,"Rancagua"
429,"Ranchi"
430,"Richmond Hill"
431,"Rio Claro"
435,"Rockford"
438,"s-Hertogenbosch"
439,"Saarbrcken"
445,"Salamanca"
452,"San Juan Bautista Tuxtepec"
454,"San Miguel de Tucumn"
459,"Santiago de Compostela"
460,"Santiago de los Caballeros"
480,"Sincelejo"
485,"So Bernardo do Campo"
490,"Sorocaba"
500,"Stockport"
501,"Sucre"
528,"Tarlac"
549,"Tychy"
561,"Valencia"
562,"Valle de la Pascua"
565,"Vancouver"
567,"Vicente Lpez"
577,"Wroclaw"
587,"Yinchuan"
590,"Yuncheng"
600,"Ziguinchor"
